period,programme,scheme,scheme_description,basis,nationality_code,nationality,recipients
2022Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1815
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,00,All,15560
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,01,Irish nationals,12718
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,03,United Kingdom,318
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),360
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1266
2022Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,06,Other nationals,898
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,00,All,7259
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,01,Irish nationals,5796
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,03,United Kingdom,178
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),216
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),525
2022Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,06,Other nationals,544
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,00,All,84934
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,01,Irish nationals,60199
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,03,United Kingdom,2621
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2207
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),12503
2022Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,06,Other nationals,7404
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,146518
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,116449
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,6327
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1947
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),14855
2022Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,6940
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,82526
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,64251
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,2356
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1789
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),10908
2022Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,3222
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1176
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,811
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,112
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),16
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),165
2022Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,72
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,3172
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,2241
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,107
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),48
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),537
2022Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,239
2022Q2,Children,CB,Child Benefit,Social Assistance,00,All,649142
2022Q2,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,496262
2022Q2,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,19146
2022Q2,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),12665
2022Q2,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),70243
2022Q2,Children,CB,Child Benefit,Social Assistance,06,Other nationals,50826
2022Q2,Children,FIS,Working Family Payment,Social Assistance,00,All,50103
2022Q2,Children,FIS,Working Family Payment,Social Assistance,01,Irish nationals,35518
2022Q2,Children,FIS,Working Family Payment,Social Assistance,03,United Kingdom,1705
2022Q2,Children,FIS,Working Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),831
2022Q2,Children,FIS,Working Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),9012
2022Q2,Children,FIS,Working Family Payment,Social Assistance,06,Other nationals,3037
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,93185
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,83333
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,3953
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),408
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3542
2022Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,1949
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,3964
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,3499
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,108
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),25
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),288
2022Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,44
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,174876
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,139540
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,5004
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2873
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),20143
2022Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,7316
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,158382
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,140239
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,6761
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),881
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),7607
2022Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,2894
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,59015
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,53348
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1630
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),405
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3338
2022Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,294
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,479717
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,459479
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,11889
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2498
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3512
2022Q2,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,2339
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96418
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,86432
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,5364
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),665
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2199
2022Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,1758
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,126149
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,119281
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,3255
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),679
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1979
2022Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,955
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,88166
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,76117
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,5636
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),651
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3788
2022Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,1974
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,145718
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,140934
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,3175
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),485
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),847
2022Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,277
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,11660
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,7299
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,547
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),333
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2556
2022Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,925
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,28449
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,22748
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,575
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),763
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),2362
2022Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,2001
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,43897
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,35785
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,1185
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),281
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3431
2022Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,3215
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,00,All,19082
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,01,Irish nationals,15585
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,03,United Kingdom,392
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),491
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1525
2022Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,06,Other nationals,1089
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,00,All,6352
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,01,Irish nationals,4997
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,03,United Kingdom,156
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),194
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),488
2022Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,06,Other nationals,517
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,00,All,9957
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,01,Irish nationals,7289
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,03,United Kingdom,324
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),251
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),1155
2022Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,06,Other nationals,938
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,166809
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,115965
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,6291
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1943
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),14850
2022Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,27760
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,81776
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,64001
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,2344
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1768
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),10463
2022Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,3200
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1166
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,801
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,107
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),16
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),163
2022Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,79
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,00,All,3264
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,01,Irish nationals,2317
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,03,United Kingdom,113
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),43
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),565
2022Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,06,Other nationals,226
2022Q3,Children,CB,Child Benefit,Social Assistance,00,All,646443
2022Q3,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,491259
2022Q3,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,18772
2022Q3,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),12656
2022Q3,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),69662
2022Q3,Children,CB,Child Benefit,Social Assistance,06,Other nationals,54094
2022Q3,Children,FIS,Working Family Payment,Social Assistance,00,All,50991
2022Q3,Children,FIS,Working Family Payment,Social Assistance,01,Irish nationals,36139
2022Q3,Children,FIS,Working Family Payment,Social Assistance,03,United Kingdom,1719
2022Q3,Children,FIS,Working Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),890
2022Q3,Children,FIS,Working Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),9024
2022Q3,Children,FIS,Working Family Payment,Social Assistance,06,Other nationals,3219
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,94000
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,83809
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,3982
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),419
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3663
2022Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,2127
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,4165
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,3662
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,109
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),27
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),310
2022Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,57
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,157433
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,126329
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,4586
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2582
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),17498
2022Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,6438
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,159308
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,140782
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,6790
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),897
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),7677
2022Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,3162
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,58308
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,52575
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1617
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),406
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3413
2022Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,297
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,484822
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,464024
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,12100
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2553
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3768
2022Q3,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,2377
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,98331
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,86409
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,5393
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),677
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2275
2022Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,3577
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,126439
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,119439
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,3298
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),691
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),2028
2022Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,983
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,89692
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,77374
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,5743
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),666
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),3868
2022Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,2041
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,148587
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,143667
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,3260
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),501
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),873
2022Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,286
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,10669
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,6725
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,499
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),279
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2306
2022Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,860
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,27108
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,21429
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,549
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),767
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),2266
2022Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,2097
